t,phase,role,pid,rss_kb,pss_kb,hwm_kb,vsz_kb,threads,cpu_jiffies,mem_available_kb
0.0,startup,hso-ui,237473,7072,4698,7072,1233540,5,0,2398076
1.0,startup,hso-ui,237473,15252,12308,15252,1235720,11,4,2276416
1.0,startup,hso-supervisor,237479,7004,4060,7004,1233540,7,0,2276416
1.0,startup,java,237487,147096,143956,147096,4578228,24,223,2276416
2.0,startup,hso-ui,237473,15404,12444,15404,1235752,11,7,2156568
2.0,startup,hso-supervisor,237479,7004,4060,7004,1233540,7,0,2156568
2.0,startup,java,237487,258620,255121,258620,4646392,26,444,2156568
3.0,startup,hso-ui,237473,15464,12504,15464,1235752,11,8,1918708
3.0,startup,hso-supervisor,237479,7008,4064,7008,1233540,7,0,1918708
3.0,startup,java,237487,503084,499649,503084,4646392,26,748,1918708
4.0,startup,hso-ui,237473,15580,12620,15580,1235752,11,10,1857576
4.0,startup,hso-supervisor,237479,7008,4064,7008,1233540,7,0,1857576
4.0,startup,java,237487,568328,564857,568328,4646392,26,974,1857576
5.1,startup,hso-ui,237473,15708,12748,15708,1235752,11,12,1800932
5.1,startup,hso-supervisor,237479,7008,4064,7008,1233540,7,0,1800932
5.1,startup,java,237487,628488,625045,628488,4912652,30,1293,1800932
6.1,startup,hso-ui,237473,15824,12864,15824,1235752,11,13,1785176
6.1,startup,hso-supervisor,237479,7008,4064,7008,1233540,7,0,1785176
6.1,startup,java,237487,645856,642373,645856,5046936,33,1630,1785176
7.1,startup,hso-ui,237473,16200,13240,16200,1235752,11,15,1764260
7.1,startup,hso-supervisor,237479,7008,4064,7008,1233540,7,0,1764260
7.1,startup,java,237487,663816,660325,663816,5118728,38,1963,1764260
7.1,settle,hso-ui,237473,16200,13240,16200,1235752,11,15,1764260
7.1,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,0,1764260
7.1,settle,java,237487,663840,660345,663840,5118728,38,1970,1764260
8.1,settle,hso-ui,237473,16252,13292,16252,1235752,11,16,1747184
8.1,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,1,1747184
8.1,settle,java,237487,677676,674373,677676,5118728,38,2281,1747184
9.2,settle,hso-ui,237473,16268,13308,16268,1235752,11,16,1730572
9.2,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,2,1730572
9.2,settle,java,237487,691212,687713,691212,5118728,38,2465,1730572
10.2,settle,hso-ui,237473,16272,13312,16272,1235752,11,17,1730320
10.2,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,2,1730320
10.2,settle,java,237487,691428,687929,691428,5118728,38,2467,1730320
11.2,settle,hso-ui,237473,16272,13312,16272,1235752,11,18,1730320
11.2,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,2,1730320
11.2,settle,java,237487,691732,688233,691732,5118728,38,2469,1730320
12.2,settle,hso-ui,237473,16044,13084,16044,1235752,11,19,1730320
12.2,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,2,1730320
12.2,settle,java,237487,691932,688441,691932,5118728,38,2470,1730320
13.2,settle,hso-ui,237473,16044,13084,16044,1235752,11,20,1728816
13.2,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,2,1728816
13.2,settle,java,237487,692232,688733,692232,5118728,38,2472,1728816
14.2,settle,hso-ui,237473,16044,13084,16044,1235752,11,21,1728816
14.2,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,2,1728816
14.2,settle,java,237487,692396,688897,692396,5118728,38,2473,1728816
15.2,settle,hso-ui,237473,16044,13084,16044,1235752,11,21,1728564
15.2,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,3,1728564
15.2,settle,java,237487,692664,689165,692664,5118728,38,2474,1728564
16.2,settle,hso-ui,237473,16048,13088,16048,1235752,11,22,1728060
16.2,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,3,1728060
16.2,settle,java,237487,692940,689453,692940,5118728,38,2477,1728060
17.3,settle,hso-ui,237473,16072,13112,16072,1235752,11,22,1727808
17.3,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,3,1727808
17.3,settle,java,237487,693116,689617,693116,5118728,38,2478,1727808
18.3,settle,hso-ui,237473,16076,13116,16076,1235752,11,23,1727660
18.3,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,3,1727660
18.3,settle,java,237487,693308,689809,693308,5118728,38,2479,1727660
19.3,settle,hso-ui,237473,16076,13116,16076,1235752,11,24,1727304
19.3,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,3,1727304
19.3,settle,java,237487,693472,689973,693472,5118728,38,2480,1727304
20.3,settle,hso-ui,237473,16088,13128,16088,1235752,11,25,1726320
20.3,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,4,1726320
20.3,settle,java,237487,693668,690169,693668,5118728,37,2481,1726320
21.3,settle,hso-ui,237473,16088,13128,16088,1235752,11,25,1726056
21.3,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,5,1726056
21.3,settle,java,237487,693832,690333,693832,5118728,37,2482,1726056
22.3,settle,hso-ui,237473,16092,13132,16092,1235752,11,26,1725316
22.3,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,5,1725316
22.3,settle,java,237487,694004,690505,694004,5118728,37,2483,1725316
23.3,settle,hso-ui,237473,16104,13144,16104,1235752,11,26,1725300
23.3,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,5,1725300
23.3,settle,java,237487,694156,690657,694156,5118728,37,2484,1725300
24.3,settle,hso-ui,237473,16104,13144,16104,1235752,11,27,1725308
24.3,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,5,1725308
24.3,settle,java,237487,694332,690833,694332,5118728,37,2484,1725308
25.3,settle,hso-ui,237473,16104,13144,16104,1235752,11,28,1723544
25.3,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,5,1723544
25.3,settle,java,237487,694480,690981,694480,5118728,37,2485,1723544
26.3,settle,hso-ui,237473,16168,13208,16168,1235752,11,29,1721780
26.3,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,6,1721780
26.3,settle,java,237487,694712,691213,694712,5118728,37,2486,1721780
27.4,settle,hso-ui,237473,16220,13260,16220,1235752,11,30,1721780
27.4,settle,hso-supervisor,237479,7008,4064,7008,1233540,7,6,1721780
